#SHEET_NAME,忆-第六回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian,
,ChapterAnimation,BG_Yi_6,chapter_bg_Y,chapter_title_Y6,Liang,265,,,,,,,,,,,
,*map_yi_6,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_yi_6,,,,,,,,,,,,,,,
,SetChapterName,忆-第六回,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,BgEvent,牵灯夜行1,,,,,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Ambience,室外主风,TRUE
,AutoSave
,,,,,,,,,,默认1,,,,说起来，我从未在如此深夜归家。,說起來，我從未在如此深夜歸家。,"Now that I think of it, I’d never come home this late before.",そういえば、深夜に家に帰ることなどこれまでになかった。,"Если подумать, то я впервые возвращаюсь домой так поздно.",
,,,,,,,,,,默认2,,,,时近子时，长街早已陷入一片墨色，万籁俱寂，只余我俩一前一后的脚步声，在空旷的街巷中回荡。,時近子時，長街早已陷入一片墨色，萬籟俱寂，只有余我倆一前一後的腳步聲，在空曠的街巷中迴盪。,"Nearing the Hour of the Rat, the long street had dissolved into pitch-black silence, broken only by the hollow echoes of our footsteps—one trailing the other—through the empty alleyways.",既に子の刻も近い。長い通りは墨をこぼしたように暗く、ひっそりと静まり返っている。私たち二人の足音だけが、こつこつと開けた路地に反響した。,"Ближе к страже <ruby=23:00-01:00>Крысы</ruby> длинная улица растворилась во мраке, а всё погрузилось в тишину, которую нарушало лишь эхо наших шагов - моих и той, что шла позади.",
,,,,,,,,,,默认3,,,,我提着一盏灯，昏黄的光晕仅能照亮脚下方寸之地。,我提著一盞燈，昏黃的光暈僅能照亮腳下方寸之地。,"I carried a lantern, its dim yellow glow barely illuminating the patch of ground beneath my feet.",私が提げている微かな光では、足元のごくわずかな範囲しか照らすことができない。,Тусклый желтоватый свет фонаря в моих руках едва освещал землю под ногами.,
,,,,,,,,,,默认4,,,,它随着我的步伐轻轻晃动，像一只温顺的萤火虫，指引着前方的道路，使得我们不会摔倒。,它隨著我的步伐輕輕晃動，像一隻溫順的螢火蟲，指引著前方的道路，使得我們不會摔倒。,"It swayed gently with my steps, like a docile firefly, lighting the path ahead to keep us from stumbling.",それは私が歩くたびにおとなしい蛍のように軽く揺れ、私たちが転んでしまわないよう、進む先を示してくれている。,"Он мягко покачивался в такт моих шагов, словно послушный светлячок, освещающий путь впереди, чтобы мы не споткнулись.",
,,,,,,,,,,默认5,,,,身后那细碎却坚定的脚步声，无时无刻不在提醒着我——今夜，我方知宥并非是独自归家。,身後那細碎卻堅定的腳步聲，無時無刻不在提醒著我——今夜，我方知宥並非是獨自歸家。,"The faint yet relentless footsteps behind me never ceased their reminder——that tonight, Fang Zhiyou was not returning home alone.",背後で聞こえる小さな、それでいてはっきりとした足音が、ずっと私にこう告げている――今夜、方知宥は一人で帰宅しない、と。,"Мелкие, но уверенные шажки за моей спиной постоянно напоминали мне - этой ночью Фан Чжию идёт домой не один.",
,,,,,,,,,,默认6,,,,约莫一炷香前，在我即将离开二十四桥柳巷之际，撞见了一位蜷缩暗处、呜咽垂泪的女子。,約莫一炷香前，在我即將離開二十四橋柳巷之際，撞見了一位蜷縮暗處、嗚咽垂淚的女子。,"About an hour ago, as I neared the end of Willow Lane at Twenty-Four Bridges, I spotted a woman hunched in the shadows, weeping softly.",およそ一炷香前。二十四橋の柳巷を抜けようとしたところで、暗がりにうずくまって泣いている女と出会った。,"Примерно время горения одной палочки благовоний тому назад, собираясь уже покидать ""Ивовый переулок"", я наткнулся на свернувшуюся в калачик и горько плакавшую девушку.",
,,,,,,,,,,默认7,,,,我给了她一两银子，本意是劝她早些归去，她却以无处可归为由，一路默默相随，直至此地。,我給了她一兩銀子，本意是勸她早些歸去，她卻以無處可歸為由，一路默默相隨，直至此地。,"I gave her one tael of silver, hoping to persuade her to leave, but she silently followed me all the way here, claiming she had nowhere else to go.",さっさと帰らせてやるつもりで少し金をやったのだが、帰る場所がないという理由でついてきてしまい、現在に至る。,"Я дал ей таэль серебра с мыслью, чтобы она поскорее могла вернуться домой, но вместо этого, под предлогом того, что ей больше некуда идти, она стала молча следовать за мной всю дорогу.",
,Se,推门,,,,,,,,,,,,,,,,
,BgEventOff,CG名,,,,,1,,,,,,,,,,,
,Bg,方院外街道忆夜,,,,,,,,,,,,,,,,
,,,,,,,,,,默认8,,,,——吱呀,——吱呀,—Creak,――ギイ,*Скрип.*,
,,,,,,,,,,默认9,,,,我推开了方院的木门。,我推開了方院的木門。,I pushed open the wooden door of Fang's Courtyard.,方院の門を押し開けた。,Я распахнул деревянные ворота двора семьи Фан.,
,CharacterOff,,,,,,3,,,,,,,,,,,
,HideMessageWindow,,,,,,,,,,,,,,,,,
,CaptureImage,截图,SpriteCamera,背景截图,,,,,,,,,,,,,,
,Bg,方院夜,,,,,,,,,,,,,,,,
,RuleFadeOut,截图,FadeCircle,,Linear,,3,,PageWait,,,,,,,,,
,Wait,,,,,,1,,,,,,,,,,,
,ShowMessageWindow,,,,,,,,,,,,,,,,,
,Ambience,室内沙沙,TRUE,,,,,,,,,,,,,,,
,,,,,,,,,,默认10,,,,方院不算轩敞，一庭三室，但于我一人而言，已是绰绰有余。,方院不算軒敞，一庭三室，但於我一人而言，已是綽綽有餘。,"Fang's Courtyard wasn’t particularly spacious—just a single courtyard with three rooms—but for me alone, it was more than enough.",庭が一つに家屋が三つ、そう広い屋敷ではない。だが一人暮らしの私には、十分すぎるほどのゆとりだ。,Двор был не особенно просторен - всего два флигеля и главный дом - но для одного меня этого было более чем достаточно.,
,,,,,,,,,,默认11,,,,此地与我缘分匪浅。曾几何时，我与雁儿姐便隔着一扇门，背靠背地倚坐于此。,此地與我緣分匪淺。曾幾何時，我與雁兒姐便隔著一扇門，背靠背地倚坐於此。我們一同背書，一同奏樂，分享彼此的悲喜，如此度過了一年多的光陰。後來，方家人察覺了我們的私會，再見她便難如登天。,"This place held a deep connection for me. Once, <ruby=Swan Goose>Sister Yan</ruby> and I sat back-to-back here, separated only by a door. We studied together, played music together, shared each other’s joys and sorrows—over a year passed like this. Later, the Fang Family discovered our secret meetings, and seeing her again became as difficult as climbing to the heavens.",この場所には深い縁がある。かつて雁姉と門一枚挟んで背中合わせに座っていたものだ。共に本を読み、曲を奏で、一年近く苦楽を共にする暮らしをした。その後は密会がばれ、再び会うことは難しくなった。,"Это место было связано со мной нитями судьбы. Когда-то мы с сестричкой Лебёдушкой сидели здесь спина к спине, разделённые лишь воротами. Больше года мы вместе учились, играли музыку, делились радостями и бедами. Затем в семье Фан прознали про наши тайные встречи, и снова повидаться с ней стало задачей крайне трудной.",
,,,,,,,,,,默认1111,,,,我们一同背书，一同奏乐，分享彼此的悲喜，如此度过了一年多的光阴。后来，方家人察觉了我们的私会，再见她便难如登天。,,,,
,,,,,,,,,,默认12,,,,再后来，伯父死了，她被伯母送走了，不知所踪。,再後來，伯父死了，她被伯母送走了，不知所蹤。,"Later, Uncle died, and Aunt sent her away—no one knows where she went.",後に伯父が死に、彼女は伯母にどこかにやられてしまい、行方知れずとなった。,"Ну а потом дядя умер, а тётя её выслала в неизвестном направлении.",,,
,,林翩翩,,,,,,,,默认267,,林翩翩/13_林翩翩_065,,[青楼女子与花街不同，即便是红倌人，也是不能大肚子的，更不能有孩子。],[青樓女子與花街不同，即便是紅倌人，也是不能大肚子的，更不能有孩子。],"""Pleasure house women aren’t like Flower Street girls—even a Red Courtesan can’t afford to get pregnant, let alone have a child.""",「青楼の女は花街と違って、紅倌（こうかん）であっても妊娠することは許されない。子供を産むなんてもってのほか」,"""У девушек в 'зелёных теремах' порядки отличаются от тех, кто работает на 'цветочной улице' - даже 'красным куртизанкам' <i>(которым можно иметь плотские отношения с клиентами)</i> нельзя было беременеть, а уж тем более заводить детей.""",,,
,BgEvent,林翩翩侧卧3,,,,,1,,,,,,,,,,,
,,林翩翩,,,,,,,,默认268,,林翩翩/13_林翩翩_066,,[她生下我后，很快便被青楼抛弃，之后先是去花街待了一年……可她青春不再，脾气也不好，很快便被花街赶了出来。],[她生下我後，很快便被青樓拋棄，之後先是去花街待了一年……可她青春不再，脾氣也不好，很快便被花街趕了出來。],"""After giving birth to me, she was quickly cast out by the pleasure house, then spent a year on Flower Street... But her youth was gone, and her temper was foul—soon, even Flower Street drove her out.""",「あたしを産んでから、お母さんはすぐに青楼を追い出された。その後ははじめ、花街に一年いたけど……もう若くもなかったし、気難しい性格だったから、花街からもすぐに追い出された」,"""Когда она родила меня, её быстро выгнали из 'зелёного терема'. После этого она продержалась год на 'цветочной улице'... Но молодость её уже была позади, да и характер у неё был скверный, так что вскоре её выгнали и оттуда.""",,,
,,林翩翩,,,,,,,,默认269,,林翩翩/13_林翩翩_067,,[那个毁了我娘的男人……每次见我娘都会说些甜言蜜语，说会攒钱给她赎身、会让她过上好生活，可他的承诺……从来没有兑现过……],[那個毀了我娘的男人……每次見我娘都會說些甜言蜜語，說會存錢給她贖身、會讓她過上好生活，可他的承諾……從來沒有兌現過……],"""That man who ruined my mother... Every time he saw my mother, he’d sweet-talk her, promising to save up and buy her freedom, to give her a better life—but his promises... Never fulfilled a single promise...""",「お母さんを陥れた男は……いつもお母さんに会うたびに、お金を貯めて身請けしてやるとか、いい暮らしをさせてやるとか、甘い言葉を投げかけた。でも……約束が果たされたことはなかった……」,"""Мужик этот, что разрушил жизнь мамы, постоянно виделся с ней и вешал ей лапшу на уши, будто подкопит денег, выкупит её и обеспечит ей хорошую жизнь... Но он не исполнил ни единого своего обещания.""",,,
,,林翩翩,,,,,,,,默认270,,林翩翩/13_林翩翩_068,,[小时候，一直都是我娘独自在养我……那个男人有自己的家庭，对我们从来不会出力，更不会出钱。],[小時候，一直都是我娘獨自在養我……那個男人有自己的家庭，對我們從來不會出力，更不會出錢。],"""When I was little, it was always just my mother raising me alone... That man had his own family—never lifted a finger for us, let alone spent a penny.""",「子供の頃、お母さんは女手ひとつであたしを育ててくれた……けどその男には自分の家庭があったし、何かしてくれたことも、お金を出したこともなかった」,"""Когда я была маленькой, мама растила меня одна... А этот мужик даже палец об палец не ударил, чтобы помочь нам, не говоря уже о деньгах.""",,,
,,林翩翩,,,,,,,,默认271,,林翩翩/13_林翩翩_069,,[呵……他大概是遭了报应，原先的妻儿都早早亡故，这几年……大概是他觉得自己老了，急着认个女儿给自己养老，便经常来找我套近乎……哼！他想把我当女儿，我可不想把他当爹！],[呵……他大概是糟了報應，原先的妻兒都早早亡故，這幾年……大概是他覺得自己老了，急著認個女兒給自己養老，便經常來找我套交情……哼！他想把我當女兒，我可不想把他當爹！],"""Heh... Guess karma caught up with him—his original wife and kids died young. These past few years... Probably thinks he’s getting old, desperate to claim a daughter for his retirement. Keeps cozying up to me lately... Hmph! He wants to play father? I won’t play daughter!""",「ふっ……因果応報かな。妻子に先立たれてからここ数年……自分が老いたのを感じたのか、娘と呼びつけて老後の面倒を見させようと、あたしに近付くようになったわ……ふん！あたしを娘扱いしようったって、あんなやつ、父親とは認めないわ！」,"""Хех, но ему воздалось сполна. Его жена и дети рано померли. Последние пару лет, он, наверное, понял, что стареет и решил 'признать' меня, чтобы я поддерживала его в старости. Часто приходит и пытается сблизиться со мной. Тьфу! Решил считать меня за дочь? Фиг ему! Я его за отца считать не собираюсь!""",,,
,,方知宥,,,,,,,,默认272,,,,[……],[……],"""...""",「……」,"""...""",,,
,BgEvent,方侧卧1,,,,,1,,,,,,,,,,,
,,,,,,,,,,默认273,,,,我沉默地聆听着。,我沉默地聆聽著。,I listened in silence.,私は黙って話に聞き入った。,Я молча слушал.,,,
,,,,,,,,,,默认274,,,,林翩翩的声音有些发颤，似乎是在压抑着自己的愤怒。,林翩翩的聲音有些發顫，似乎是在壓抑著自己的憤怒。,"Lin Pianpian’s voice trembled slightly, as if choking back rage.",翩翩の声が少し震えている。怒りをなんとか堪えているようだ。,"Голос Линь Пяньпянь слегка дрожал, словно она сдерживала ярость.",,,
,,,,,,,,,,默认275,,,,哪怕她有些恨自己的娘，也依旧称呼为“娘”。,哪怕她有些恨自己的娘，也依舊稱呼為“娘”。,"Even if she somewhat resented her mother, she still referred to her as ""Mother"".",母のことを恨んでいるとはいえ、それでも「お母さん」と呼んでいる。,"Она хоть и ненавидела свою маму, но всё равно называла её ""мамой"".",,,
,,,,,,,,,,默认276,,,,而她对于自己的“爹”，却从未认为是“爹”。,而她對於自己的“爹”，卻從未認為是“爹”。,"But as for her ""father"", she never considered him as ""father"".",しかし「父」に関しては、一言も「お父さん」と呼んでいない。,"Но вот своего ""отца"" она ни разу таковым не признала.",,,
,,,,,,,,,,默认277,,,,不过，这也不算有错。,不過，這也不算有錯。,"Still, this wasn't entirely wrong.",だが、間違いではない。,Но её сложно было за это винить.,,,
,,,,,,,,,,默认278,,,,那样的男人，确实不配被她看作父亲。,那樣的男人，確實不配被她看作為父親。,A man like that truly didn't deserve to be regarded as her father.,そんな男、父と見られるに値しない。,"Такой мужчина действительно не заслуживает, чтобы его считали за отца.",,,
,,,,,,,,,,默认279,,,,哪怕他老年悔悟，突然亲近，那确实也不可信。,哪怕他老年悔悟，突然親近，那確實也不可信。,"Even if he repented in old age and suddenly became affectionate, that still couldn't be trusted.",年をとって後悔し、今更馴れ馴れしくしてきたところで、とても信じられないだろう。,"Даже если он под старость решил покаяться в прошлых ошибках и внезапно стал таким заботливым, веры ему в этом мало.",,,
,,林翩翩,,,,,,,,默认280,,林翩翩/13_林翩翩_070,,[其实……我今日痛哭，想来也并非是因为我与娘亲情深。],[其實……我今日痛哭，想來也並非是因為我與娘親情深。],"""Actually... Today's weeping, I suppose, wasn't because Mother and I shared a deep bond.""",「よく考えたら……今日あんなに泣いてたのは、お母さんを愛していたからじゃなかったかも」,"""Знаешь... наверное, я сегодня плакала вовсе не из-за того, что мы с мамой как-то особенно любили друг друга...""",,,
,,林翩翩,,,,,,,,默认281,,林翩翩/13_林翩翩_071,,[只是，她再对我不好，也是我世上唯一的亲人……一想到从此孤身一人……便觉得自己可怜，越想便越忍不住哭……],[只是，她再對我不好，也是我世上唯一的親人……一想到從此孤身一人……便覺得自己可憐，越想便越忍不住哭……],"""It's just... no matter how poorly she treated me, she was still my only family in this world... The thought of being utterly alone from now on... made me feel pitiful, and the more I dwelled on it, the harder I sobbed...""",「どんなにあたしにとって最低の母親でも、唯一の家族だったからよ……これから独りぼっちだって考えると……自分が惨めで泣けてきちゃって……」,"""А потому... что как бы плохо она ни обращалась со мной, она всё равно была моим единственным родным человеком... От одной мысли, что я осталась в этом мире одна, мне становилось грустно, и чем дольше я думала об этом, тем сильнее мне хотелось плакать.""",,,
,,林翩翩,,,,,,,,默认282,,,,[……],[……],"""...""",「……」,"""...""",,,
,,林翩翩,,,,,,,,默认283,,林翩翩/13_林翩翩_072,,[我为了不伤心，便努力去想她打我、骂我、卖我的事，可想不了多久，总会记起儿时的事来。],[我為了不傷心，便努力去想她打我、罵我、賣我的事，可想不了多久，總會記起兒時的事來。],"""To avoid heartache, I tried hard to remember how she hit me, scolded me, sold me—but it never lasted long before childhood memories resurfaced.""",「悲しまないように、がんばって叩かれた時や怒られた時、売られた時のことを思い出そうとするけど、長続きしなくて、いつも子供の時のことを思い出しちゃう」,"""И чтобы на сердце было не так тяжело, я изо всех сил пыталась вспоминать, как она била и ругала меня, а в конце и вовсе продала. Но потом сразу же я вспоминала что-то из детства.""",,,
,,方知宥,,,,,,,,默认284,,方知宥/13_方知宥_38,,[何事？],[何事？],"""What is it?""",「どんなことを？」,"""Что именно?""",,,
,BgEvent,林翩翩侧卧4,,,,,1,,,,,,,,,,,
,,林翩翩,,,,,,,,默认285,,林翩翩/13_林翩翩_073,,[儿时，我求了她多次，她终肯带我逛街。那时，她将我高高举起，让我看远处景致，还给我买了糖吃。],[兒時，我求了她多次，她終肯帶我逛街。那時，她將我高高舉起，讓我看遠處景致，還給我買了糖吃。],"""When I was little, I begged her many times until she finally took me shopping. Back then, she lifted me high to see distant sights, even bought me candy.""",「子供の頃、しつこくお願いして買い物に連れてってもらったの。その時、お母さんは遠くの景色が見えるように、私を高く持ち上げてくれたのよ。あと、飴も買ってくれた」,"""Когда я была маленькой, я много раз просила её сводить меня за покупками, и она, наконец-то, согласилась. Она держала меня высоко-высоко, чтобы я могла всё сверху видеть, а потом даже купила конфет.""",,,
,,林翩翩,,,,,,,,默认286,,林翩翩/13_林翩翩_074,,[我恨极了她……可一想到她已死了，一想到她曾给我买过糖、想到她少有的对我好的时候，便恨不起来了……],[我恨極了她……可一想到她已死了，一想到她曾給我買過糖、想到她少有的對我好的時候，便恨不起來了……],"""I hated her to the bone... But remembering she’s dead now, remembering the candy she bought me, those rare moments she was kind—I couldn’t hate her anymore...""",「お母さんのことはすごく憎んでた……でも、いざ死んじゃうと、飴を買ってくれたことや、珍しく優しくしてくれたことを思い出して、どうしても憎み切れなくなる……」,"""Я ненавидела её до глубины души... Но стоило мне подумать о том, что она мертва, о том, как она мне тогда купила конфеты, про те редкие моменты, когда она ко мне относилась с добротой... у меня уже не получалось её ненавидеть...""",,,
,CharacterOff,,,,,,,,,,,,,,,,,
,,,,,,,,,,默认287,,,,林翩翩说着说着，不知不觉间已从地铺上坐起。,林翩翩說著說著，不知不覺間已從地鋪上坐起。,"As Lin Pianpian spoke, she’d unknowingly risen from the floor mat.",話すうちに、翩翩はいつのまにか起き上がり、敷物の上に座っていた。,"Рассказывая всё это, в какой-то момент Линь Пяньпянь привстала с циновки и села на ней.",,,
,,,,,,,,,,默认288,,,,她抱着双膝，缓缓讲述着，话语中逐渐又带了哭腔。,她抱著雙膝，緩緩講述著，話語中逐漸又帶了哭腔。,"Hugging her knees, she spoke slowly, her voice gradually trembling with sobs again.",膝を抱き、ぽつりぽつりと話すその声が、再び涙声になりつつある。,"Приобняв колени, она мало-помалу делилась со мной этой историей, и в её голосе постепенно пробивался плачущий тон.",,,
,,方知宥,,,,,,,,默认289,,,,[……],[……],"""...""",「……」,"""...""",,,
,BgEvent,方侧卧1,,,,,1,,,,,,,,,,,
,,,,,,,,,,默认290,,,,我静静地听着。,我靜靜地聽著。,I listened quietly.,私はただしずかに、彼女の話を聞いていた。,Я молча слушал её.,,,
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0 time=0,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0.4 time=0,,,,,NoWait,,,,,,,,,
,Wait,,,,,,0,,,,,,,,,,,
,,,,,,,,,,默认291,,,,“人”，还真是复杂。,“人”，還真是複雜。,"""Human"", it’s truly complicated.",「人」とは難しいものだ。,Люди - сложные создания.,,,
,,,,,,,,,,默认292,,,,那个将她卖到柳巷的娘亲，也曾对她如寻常的娘亲般温柔。,那個將她賣到柳巷的娘親，也曾對她如尋常的娘親般溫柔。,The mother who sold her to Willow Lane had once been as gentle as any ordinary mother.,彼女を柳巷に売った母も、かつては普通の母と同じように優しかった。,"Мать, которая потом продала её на ""Ивовый переулок"", в своё время была с ней так же ласкова, как любая другая мама.",,,
,,,,,,,,,,默认293,,,,那个曾抛弃她的父亲，也在如今用接近她的方式恳求她的原谅。,那個曾拋棄她的父親，也在如今用接近她的方式懇求她的原諒。,The father who abandoned her now sought her forgiveness by drawing closer to her.,彼女を捨てた父も、今では彼女に近付くやり方で許しを乞おうとしている。,"Отец, который в своё время бросил её, теперь ищет прощения и хочет сблизиться с ней.",,,
,,,,,,,,,,默认294,,,,这些情感，有几分是真实？几分是虚假？,這些情感，有幾分是真實？幾分是虛假？,How much of these emotions was real? How much was false?,その感情のどこまでが本物で、どこまでが偽物なのだろうか。,Сколько в этих проявлениях чувств с их стороны было искренности? А сколько - фальши?,,,
,,,,,,,,,,默认295,,,,我这个旁观者参不透。,我這個旁觀者參不透。,"I, an outsider, couldn’t decipher it.",傍観者である私にはわからない。,"Мне, как человеку со стороны, не суждено понять.",,,
,,,,,,,,,,默认296,,,,她这个当局者，估计也参不透。,她這個當局者，大概也參不透。,"She, the one entangled in it, probably couldn’t either.",当事者の彼女だって、きっとわからないだろう。,"Да и ей, непосредственной участнице всего этого, пожалуй, тоже не суждено понять.",,,
,SpriteOff,黑,,,,,0.5,,NoWait,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,,林翩翩,,,,,,,,默认297,,林翩翩/13_林翩翩_075,,[知宥……你之前说你爹娘很早便死了，是真话吗？],[知宥……你之前說你爹娘很早便死了，是真話嗎？],"""Zhiyou... Earlier, you said your father and mother died long ago—was that the truth?""",「ねえ、知宥……ご両親が早くに死んだっていう話、あれは本当？」,"""Чжию... Ты говорил, что твои родители давно умерли... Это было правдой?""",,,
